name,cate_1,cate_2,cate_3,lon,lat,star_point,star_qty,review_txt,review_qty,cate_mix,naver_blog_need
블룸,양식,정통양식/경양식,"음식점 > 술집 > 호프,요리주점",126.96036979999998,37.50764939,4.0,1.0,"블룸 또 갔다믄써~~~ 중대앞에서 칵테일 마시고 싶다면 여기가 ㄱㅊ은듯?? 새벽 1시까지 하고 조용해요~~ 분위기 국굳 요로코롬 되어있음 그림 넘 멋지구녀.. 푹신푹신 소파 메뉴판 메뉴판 메뉴보다 폰 그림자가 신경쓰이네여 그리고 좀 ㅁㅔ뉴 이름 거슬리는거 있음 메뉴 중 인기쟁이는 헤이즐넛맥주임 부찌갱의 멋쟁이 김씨가 알려줌 어케만드는지 궁금쓰 딱 헤이즐넛 맥주 그 자체임요 기본안주 진짜 무한대로 가져다주심 요곤 모둠소세지 구이!!! 맛있졍 중요한건 술사진이 음슴ㅋㅋㅋㅋㅋㅋㅋㅋ 뒤에 숨겨진 잔: 데킬라 맥주 반지낀 사람 잔: 아이스 초코 바로 앞사람 잔: 헤이즐넛 맥주 여기서 먹어본 거 다 맛있었음 헤이즐넛 맥주는 부동의 1위 체리에이드 맛있어요 그냥 술 먹기 싫어서 시켜봤는데 맛있음 술마시기 싫어서BLOOM 서울특별시 동작구 흑석로 97 저장 관심 장소를 MY플레이스에 저장할 수 있어요. 팝업 닫기 '내 장소' 폴더에 저장했습니다. MY플레이스 가기 팝업 닫기 전화 상세보기 오늘은 흑석동/중앙대 술집 중 하나인 BLOOM을 소개하고자 한다.사실 요즘 칵테일 바나 펍을 자주 찾다보니 새로운 곳, 안가본 곳에 가고 있는 나. 중앙대학교 정문에서 중앙대병원쪽으로 걷다보면 레드벌륜을 지나 이층에 마실(masil)이란 카페, 술집과 Bloom(블롬)이라는 카페, 술집 두 곳이 있다.전부터 이층에 있는 두개의 술집이 어떤 곳일지 어떤 술을 팔고 어떤 분위기일지 정말 궁금했기에 가본 곳.참고로 간판은 검은색에 글씨는 핑크색으로 되어 있다.영업시간은 매일 18:00 - 04:00 연중무휴 검색해보니 기타음악전문점이",2.0,"양식정통양식 경양식음식점   술집   호프,요리주점",
쉬어가는 모퉁이커피한잔,커피점/카페,커피전문점/카페/다방,음식점 > 카페 > 커피전문점,126.9534122,37.49722588,4.5,5.0,empty,0.0,커피점 카페커피전문점 카페 다방음식점   카페   커피전문점,
손칼국수,분식,국수/만두/칼국수,음식점 > 한식 > 국수,126.95783159999999,37.49495826,4.1,20.0,"사실 후기랄 것이 없다. 자주 가는 곳이고 늘 같은 메뉴. 숭실대 중문 쪽에 아주 허름하고 좁지만 점시 시간이면 가득가득 차는 분식집이 있다. 식당 이름도 아주 심플함. '손칼국수' 메뉴판에 메뉴는 정말 많지만 난 가면.. 늘 이것만 시킨다. 철판 떡볶이 기본 2인분 + 사리(칼국수) 떡볶이, 오뎅, 양배추, 치즈, 소스. 끝. 그런데..... 맛있다. 메뉴는 정말 많다. 혼자 갈 때는 닭도리탕, 제육 돌솥, 콩국수, 제육덮밥, 치즈돈까스.. 이 정도를 자주 시키는 것 같다. 둘 이상 가면 거의 무조건 철판 떡볶이 ㅎㅎㅎ 밥상이 다섯 개뿐이다. 그렇지만 실망하지 마시라 2층이 있으니까. 정수기를 끼고, 오른쪽 계단으로 올라가면 2층이 나온다. 난 아직 2층에 가본떡볶이가 메인인 칼국수집이 있다?! 몇년 전부터 정말 많이 갔었는데 여전히 학생들에게 인기 폭발인 손칼은 항상 갈때마다 사람이 바글바글하다 손칼국수 손칼국수 서울특별시 동작구 상도동 506-4 중문에서 조금 더 위로 가면 대로변에 위치한다 전에 혹시 김천이였나 의심케하는 유리창 여튼 복층으로 된 손칼국수 (일명 손칼) 2층은 굉장히 천장이 낮아서 별로 선호하지는 않는다.. 애매한 시간에 가서인지 왠일로 1층에 자리가 있었다 분명 간판은 칼국수집인데 철판 떡볶이가 가장 큼직하게 메인을 차지하고 있는 메뉴판. 먹어보면 왜인지 알 수 있다 4인용 테이블이 6개정도?? 세팅되어있다 참고로 2층은 좌식이였던걸로 기억한다 (자주 가는데 왜 기억이..) 단촐.. 이 사진떡볶이가 메인인 칼국수집이 있다? 예전에 정말 많이 갔었는데 여전히 학생들에게 인기 폭발인 손칼국수 항상 갈때마다 사람이 바글바글하다 손칼국수 손칼국수 서울특별시 동작구 상도동 506-4 중문에서 조금 더 위로 올라가 대로변에 위치한다 예전에 혹시 김천..? 여튼 복층으로 된 손칼국수 (일명 손칼) 2층은 굉장히 천장이 낮아서 별로 선호하지는 않는다.. 애매한 시간에 가서인지 왠일로 1층에 자리가 있었다 분명 간판은 칼국수집인데 철판 떡볶이가 가장 큼직하게 메인을 차지하고 있는 메뉴판. 먹어보면 왜인지 알 수 있다 4인용 테이블이 6개정도?? 세팅되어있다 참고로 2층은 좌식이다 철판떡볶이는 불판이 필수죠 직접 담그신듯한 깍두기 엄청 크다 3인분 먹",28.0,분식국수 만두 칼국수음식점   한식   국수,
김가네 중앙대점,분식,라면김밥분식,음식점 > 분식 > 김가네,126.96440559999999,37.50780197,1.0,2.0,"강식당 보다가 피오가 만든 김치밥 너무 먹구시픈데 집에 김치가 없는 슬픈 자취생이라,,, 김가네옴 메뉴 짱 많더 김밥종류도 많군여?? 기본 단무지,김치,국물이 나오고 철판치즈김치볶음밥 메인메뉴 등장!!!!! 일단 비주얼 미쳐ㅛㅆ자나아??!?!? 치즈에 반숙 김가루 그리고 철판,,, 정말 배운 사람이야 지글지글 나오는데 진짜 맛없없!!!!! 계란까지 터트려 먹는데 간도 딱 맞고 김치볶음밥 안에 햄도 들어있고 치즈도 많고 대만족 김가네 중앙대점 서울특별시 동작구 흑석동 332 #김가네 #김치볶음밥 #김치밥 #중앙대 #흑석역 #치즈 #치즈김치볶음밥 #해가든돈맛도시락 치치김밥 스팸김밥 라볶이 김밥은 김家네 중대병원 진료 갔다가 내가 좋아하는 김밥맛집 김밥은 김가네 중앙대점으로 고고!아침9시부터 영업이고 여기 깔끔하고 맛있어서 자주간다. 매장내부 김밥은 주문과 동시에 만들어주신다 매장 완전 깔끔, 신메뉴를 포함, 못보던 메뉴들이 많아졌네. 골라먹는 재미가 있다!ㅋ 메뉴판 신메뉴 돈맛도시락 6,500원신메뉴 치치김밥 4,500원스팸김밥 4,500원라볶이 5,500원 김치와 단무지 스팸김밥 치치김밥 사실 하니가 들어가자마자 햄밥을시키라고 않하던 떼쓰기를 시작하고 사람들이 다 쳐다봐 하니를 위해 스팸김밥에 야채넣지 말고 싸달라고 부탁드렸는데 요게 아주 굿이었다. 하니만을 위한 김밥 귀요미 원래 스팸김밥엔 뭐가 들어가는지 모르겠으나 하니가 좋아하는 재료들이라 행복하게집 근처 새로 생긴 김가네 매장으로 '2018 김가네 신메뉴'를 맛보러 갔어요. 해가든 프라자 1층에 위치해있습니다. 지하 주차장도 잘 되어 있어요. (김가네에서 밥 먹으면 주차 1시간 무료) 매장은 새로 생겨서 아주 깔끔하고 세련된 느낌 가득... 김가네가 달라졌네요~~ 고급스러운 느낌의 매장으로~~ 김가네 중앙대점에는 실내 테이블 4, 야외 테이블 1개가 있었어요. 신메뉴 5종입니다. 저희는 크래미와사비김밥, 차닭물쫄면에 도전해봤어요. 그리고 김가네에 오면 항상 먹는 라볶이와 유부우동~도 주문! 밑반찬은 김치와 단무지가 있어요.. 분식집 최고의 반찬이죠~ 셀프 서비스로 가져다 먹으면 됩니다. 테이블 옆 서랍을 열면 넵킨과 수저 세트가 준비되어 있고요. 주문한 음식들이 나왔습니다~!!!! 크래미와사비김밥.",6.0,분식라면김밥분식음식점   분식   김가네,
중앙대학교 학생식당,기타음식업,구내식당/자급식음식점,음식점 > 구내식당,126.95383799999999,37.50479846,-1.0,0.0,중앙대생 점심 메뉴를 추천해드리려고해요 아마 재학생들은 다 알고 있을 310관 지하 4층에 위치한 310 쌀국수 입니다! 310쌀국수 서울특별시 동작구 흑석동 221 메뉴판을 찍어봤어요 지금 이벤트 중이라 310 쌀국수(홍두께)가 6500원이에요! 쌀국수를 주문하면 이렇게 나온답니다! 맛있어요 추천드립니당 ٩(๑>◡,1.0,기타음식업구내식당 자급식음식점음식점   구내식당,
청운음식점,한식,한식/백반/한정식,음식점 > 한식,126.9566328,37.4949657,-1.0,0.0,"시간이 없어서 숭실대 중문 건너편 가까운 곳에 있는 아무 밥집이나 들어갔어요 아무 밥집이라고는 하나 백반을 먹을 수 있는곳... 대학 근처이다 보니 정오 12시는 어느 식당이나 사람이 많아서 손님이 없어 보이는 인간냄새 나는 ""청운음식점""으로 들어갔어요 베네에도 잔뜩 써있었지만 주로 삼겹살을 많이 드시는 곳인듯.. 12시부터 삼겹살 드시는 분이 많으시네요 밥먹고 손님 만나야 하는데 삼겹살(심져 내가 먹지도 않은)냄새 밸까봐 걱정됐지만 일단 고등어구이를 주문 7,500원 다른 점심메뉴보다는 좀 비싼편이에요 콩나물국밥은 4,500원 호텔식 방한 암막 헤링본 연그레이 커튼 : 토탈패브릭 암막커텐, 암막커튼, 인테리어커튼, 그레이커튼 m.smartstore.naver.com 물이랑 물컵은 셀프예요 고등어가2019년 9월 21일 제3회 대한민국 청년의 날 행사로 마무리 될 줄 알았던 플래시몹 기획단 활동 결국 지금까지 함께했다 청년과 미래에서 준비해준 워크숍에 우리 오리단도 함께했다 이 날 중간고사 시험을 치르느라 쪼오금 지치긴 했는데 그래도 기획단 사람들 본다는 기쁨으로 힘을 냈다 워크숍에 오는 사람들을 위해 준비된 셔틀버스를 타기 위해 반포역으로 향했다 반포역 3번 출구는 왜 에스컬레이터가 없냐 ,,,,, 시험보고 준비하고 나오느라 점심밖에 못먹었었는데 주이언니가 사온 간식 욤뇸뇸 했다 히히 주이언니 최고야 (っ´ω`c)♡ 라비돌리조트 경기도 화성시 정남면 세자로 286 40분 가량 걸려서 도착한 라비돌 리조트! 사진은 없다 ㅎㅎ 그리고 완전 산골짜기에 있다안녕하세요 ~ 하나기름입니다.오늘은 숭실대 맛집 청운식당에 대해 포스팅하려고 합니다.며칠동안 하늘에서 구멍이 뚫렸는지 비가 엄청 내려요.비가 오는 날에는 두가지 음식이 생각납니다.1. 부침개2. 삼겹살지글지글 익는 소리가 빗소리와 닮아서 인 것 같아요.게다가 며칠 전에 맛있는 녀석들에서 대패삼겹살을 먹더라구요..사실 요즘 운동 중이라....음식에 대해 예민해야하는데.. 그걸 까먹고 고기에 홀려 숭실대 맛집 청운식당에 입성했습니다. 숭실대 상권이 그렇게 크지 않아 프렌차이즈 음식점 보다는 일반 음식점이 많아요~그 중 맛있는 곳 청운 식당과연 숭실대 맛집 타이틀을 거머질 수 있을 것 인지! 식당 내부입니다. 세련된 인터리어는 아닙니다. 정육식당 비슷한 느낌이네요.맛있으면 되니깐~ 고기 이외에도 다양한 메뉴가 있",4.0,한식한식 백반 한정식음식점   한식,
카페숨,커피점/카페,커피전문점/카페/다방,음식점 > 카페 > 테마카페,126.95169109999999,37.498994700000004,-1.0,0.0,"안녕하세요 공공일이에요! 이번에는 제가 가끔 공부하거나 노트북이 필히 사용해야할 때 가는 카페를 추천해드리려고 해요 어느 좌석이든 콘센트가 있다는 점! 그게 엄청난 장점이고 테이블이 네모네모하게 생겨서 넓습니다! 카페숨 서울특별시 동작구 상도동 463-11 위치는 숭실대입구와 상도역 사이에 있어요 숭실대입구역이랑 조금 더 가깝구요 역에서 내려오면 약 5분정도 걸려요 상도역에서도 비슷하게 걸리구요 정말 중간! 외부사진 시원하게 트여있는 편이구요, 지하? 아래로 내려가면 있어요 가면 이렇게 카페에 안내문까지 있습니다 영업시간 평일& 토요일 10시~22시 일요일 휴무 네이버 지도엔 22시 반이라고 적혀있는데, 실제 영업은 22시까지 하는거 같았습니다! 참고참고 내부사진 안엔 쾌적하고 넓은 편이구요 내부는 말씀드렸어느달 파스타가 너무너무 먹고싶은 어느날! 어느달에 다녀왔습니다 ㅎㅎ 가는길은 조금 험했지만.... 맛집을 가기위해서 이정도는! 꼭 차를 이용해서 가셔야할거같아요 꼬불꼬불 길을 가다보면 도착합니당 어느달 외관이구요! 점심시간이 조금 지나 도착하였지만, 테이블4개로 운영하시는 아기자기한 식당이라 그런지 꽉차있더라구요! 이름과 번호를 적으면 연락주신다고하셔서 차에서 기다렸어요 10분쯤 기다렸나?! 금방들어갔답니다 메뉴판 보시죠! 저희는 갈릭 쉬림프 새우필라프 오미자에이드 를 주문했답니다!! 제가 새우를 엄청 좋아해서 새우있는 음식들로 골랐어요 ㅎㅎ 탁월한선택! 오미자에이드가 제일 먼저 나왔어요! 직접 만드신것 같은 맛이더라구요 상큼해요[상도역 숭실대입구역] 카페숨 : 메뉴판 포함 - 메인 사진 [상도역 숭실대입구역]카페숨 : 메뉴판 포함 안녕하세요.오늘은 2017년 12월 말에상도역과 숭실대입구역중간지점에 위치하고 있는카페숨에 다녀온이야기를 하려고 합니다. 카페숨 서울특별시 동작구 상도로 329 지하 1층 전화 상세보기 카페숨에 들어가서 자리를 잡고메뉴를 주문하러 갔습니다. [상도역 숭실대입구역] 카페숨 : 메뉴판 포함 메뉴판은 위에 사진을 참고하세요사진을 클릭하면 크게 볼 수 있습니다.조명 빛 반사 때문에 메뉴가 잘 안 보여서여러 각도로 찍어서 올립니다. [상도역 숭실대입구역] 카페숨 : 메뉴판 포함 - 주문 각 한 잔씩 두 잔을 주문했습니다. [상도역 숭실대입구역] 카페숨 : 메뉴판 포함 - 도장 쿠폰 주문 후 도장 쿠폰을 받았습니다",3.0,커피점 카페커피전문점 카페 다방음식점   카페   테마카페,
엄마손백반,한식,한식/백반/한정식,음식점 > 한식,126.9540987,37.49422245,2.3,3.0,"숭실대 상도동 백반집!! 가성비갑♡ 동네에 꼭 맛집 하나씩은 있는것 같아요ㅋㅋ 근데 왜 우리동네는 없지?ㅋㅋ 고모네 미용실 놀러왔다가 점심먹으려고 들른 엄마손백반집! 뭔가 비주얼부터 맛집의 냄새가 흐른다!! 숭실대입구역 1번 출구에서 올라오면 금방임ㅋㅋ 엄마손백반집의 영업시간이에요!! 들어가니 이미 사람들로 만석인데 구석빈자리 찜꽁쓰~ 코로나가 무색할 정도로 맛집인가봐용ㅠㅠ (자리없으면 밖에서 대기도 하시더라구용!) 아침도 굶고와서 그런지 넘나배고팠는데 백반먹자고 하니 갑자기 침이 쥬르륵..ㅋㅋ 나이드니 백반이 땡기는건 왜 때문이죠?ㅋㅋㅋ 백반집의 메뉴판인데 헐..먹고 싶은것만 있다능ㅋㅋ 생고기 김치찌개 먹으려다..사람들이 제육볶음백반을 많이 드시더라구요ㅋㅋㅋ그래서 엄니랑 2인분시킴! 사람들이 많숭실대 주변엔 맛집이 그리 많지 않아요. 그런데 바로 오늘! 숭실대 상도동맛집을 찾았답니다 숭실대 주변에 식사한곳중에 정말 손꼽힐정도로 맛있었어요! 그만큼 맛있게 먹었기에 추천드리고 싶어요. 엄마손백반 위치는 숭실대입구역에 더 가까워요. 학교와 거리가 좀 있어서 그런지 학생보단 일하시는 회사원분들이 많답니다. 외관부터 왠지 맛있을것같은 느낌,, 주문을 하고나면 반찬을 셀프로 가져올 수 있어요 오늘 제가 먹은 반찬은 계란장조림, 양배추쌈, 고구마줄기, 콩나물무침, 김치였네요 반찬 다 맛있어요! 밥이랑 먹기 딱 좋은 간이에요 내가 좋아하는 반찬인 고구마줄기- +)김도 반찬으로 먹을수있답니다 얼마 기다리지 않아 주문한 해물된장찌개가 나왔어요 해물된장찌개백반집을 찾아다니는 재미가 붙었다. 밥이라는 것이 점차 사라지고 있는 시대에 여전히 밥상을 지키고 있는 사람들에 대해서. 오늘 찾아간 곳은 평범한 백반집이지만, 로망스러운 메뉴가 있어서 적어보는 집. 반찬투정의 로망, 엄마손 백반. 엄마손백반 서울특별시 동작구 상도로60길 10 비탈길에 서있는 작은 백반집. 위치는 역과 매우 가깝다. 다만 오르막길이라 조금 걸어 올라야 한다는 점이 힘들수도 있지만. 가게 내부 사진. 5테이블 정도 있으며 작고 좁은 식당 기본적인 백반메뉴들이 있고, 제육곱배기 메뉴도 인상적. 덩치큰 남자아이들이 좋아할 만한 메뉴. 메뉴를 보고 그냥 하나 집어서 시키면 된다. 현금으로 결제할시 500원 할인이 되는 가격. 나는 고등어 구이를 시켰지만, 지금에서 생각해보니",5.0,한식한식 백반 한정식음식점   한식,
피자헛 상도역점,패스트푸드,피자전문,음식점 > 양식 > 피자 > 피자헛,126.9483368,37.50189329,2.1,7.0,"피자헛 얼티밋 치즈포켓 피자헛 신메뉴 늦은 저녁 남편이 피자헛 신상피자가 먹고 싶다고 하여 피자헛 신메뉴 얼티밋 치즈포켓을 시켜봤어요. 현재 피자헛에서 치즈포켓에 프리미엄 피자를 시키면 방문 포장은 40%가 할인되어요. 피자헛이나 도미노는 토핑이 듬뿍 들어간 걸 시켜야 맛있더라구요. 그래서 피자는 티본스테이크 & 쉬림프 피자로 주문! 저는 원래 파파존스나 코스트코피자 같은 짭짤하면서 도우를 갈릭소스에 찍어먹는 그 맛으로 피자를 먹는데 이번에 한번 피자헛을 먹어봤어요. 티본스테이크&쉬림프 치즈포켓은 방문 포장 40%할인을 받으면 L 21,540 M17,940 저희는 L사이즈로 주문 사이드 메뉴 중에 코울슬로+콘샐러드+치즈스파게티 반가격 5900원 세트 옵션이 있길래 오븐스파게티가 먹고 싶방문포장 인터넷주문 안녕하십미까 태풍이 옵미다 19.09.04 휴가 마지막날.... 인터넷에 피자헛 이벤트광고를 보고 비쬐금 오다가 안오길래 친구 병원면회를 계획했습미다~~ 바로 피자헛 홈페이지에서 주문을하고 차를타고 피자를 모시러 출발 현장 카드결제~ 메가더블세트로 메가크런치 2판을 방문포장할인 37%해서 19,900원에 모셨습미다 사이드50%도 있길래 치즈볼도 시켜보았습미다.시키지마십쇼 치즈볼 치즈볼은 뜨거울때 살짝열어서 입에넣어보았습미다 시키지마십쇼 왼쪽 순삭포테이토,오른쪽 갓치킨 병실이 컴컴 메가크런치. 이름값 하듯이 바삭합미다 씬피자라 기름도 적고 물리지않습미다 도우가 얇아서 재료들에 맛이 잘납미다 순삭포테이토는 진짜 감자피자맛이였고 갓치킨은 마늘맛이 강해서 좋았습미다 가격대비 만족도가 좋습미다!오늘 비 엄청오는날 피자헛 방문포장 해왔어요 ㅋㅋㅋㅋ방문포장으로 50프로 싸게 먹어서 22,900원에!!!!!득템 감자튀김+리치치즈파스타/ 버터쉬림프피자 먹었답니다. 회사 끝나고 빨리온다고 왔는데 이미...누졌음 ㅜㅜㅜ힘 파스타의 진리는 역시 미트소스파스타!!!!구뜨 버터쉬림프 피자도 달달하니 맛있어요 근데 아쉬운건 도미노피자보다 토핑이 현저하게 적고... 일단 버터쉬림프라는데 새우도....진짜 새우같지 않은.....싸구려 새우 더라구요 ㅠㅠ힝.. 차라리 같은가격이면 도미노 킹프론 먹을거같아요....... 50프로 주고 먹어서 다행이지 않그러면...돈아까울.....그런 퀄리티였어요 맛은 없지 않은데..좀 실망이네염. ▶피자헛 상도점 위치",3.0,패스트푸드피자전문음식점   양식   피자   피자헛,
교촌치킨 상도터널점,닭/오리요리,후라이드/양념치킨,음식점 > 치킨 > 교촌치킨,126.9512804,37.50491094,1.8,23.0,교촌치킨 동작구 상도터널점 메뉴 및 영업시간 ＊누구나 즐기는 간식거리 치킨!! 그중에서도 가장 사랑받는브랜드인 교촌치킨에 대해서 알아 보겠습니다. 교촌치킨 메뉴 로는 허니콤보 살살치킨 오리지날 등 다양한 메뉴가 있어서 아주 다양하게 맛보실수 있습니다. 가격 또한 할인이나 치킨쿠폰 을 통해서 저렴하게 즐길수 있습니다. 그럼 매장의 위치와 각종 정보에 대해서 알아보겠습니다~^^ ★매장명: 교촌치킨 상도터널 ★연락처: 02-815-8833 ★주소: 서울 동작구 상도1동 587 ★영업시간: 12:00 ~ 24:00(지점마다 차이가 잇음) ★위치 ＊우리동네 매장의 정보를 보셨다면 이제 교촌치킨의 맛있고 다양한 종류의 메뉴와 온라인 메뉴 주문하는 방법을 알아 보겠습니다. 교촌치킨 메뉴 바로가기 교촌치킨 온라인 주문 바로가기 교촌 치킨 메뉴부터 온라인 오프라인 주문방법 까지 알아보았으니 오늘밤 시원한 생맥주에 치킨 한마리 어떤가요~??^^ 저의 포스팅이 도움이 되셨다면 아래 공감♥버튼을 눌러주세주말엔 치킨~♥︎ 교촌치킨점이 근처에 꽤 있는데..블로그 후기 좀 봐서 괜찮은 곳이 상도터널점이길래 나도 상도터널점에서 시킴ㅋㅋㅋㅋ 점점 오르는 치킨 가격....서민음식 맞냐능... 교촌치킨 상도터널점 서울특별시 동작구 흑석로 5 만호설비 저장 관심 장소를 플레이스 MY에 저장할 수 있어요. 팝업 닫기 '내 장소' 폴더에 저장했습니다. 플레이스 MY가기 팝업 닫기 전화 상세보기 전화 : 02-815-8833 나는 허니오리지날로 시킴.!!!콤보가 맛있다고 하는데우리엄마는 다리랑 윙 별로 안조아해서....^.ㅠ양은 꽤 된다!그리고 조각도 좀 작게 자르는듯. 인터넷에서 엄청 떠드는 것 만큼짱맛! 인생치킨! 이정도로 맛있지는 않았지만...그래도 보통 후라이드보다는 나은듯. 먹다보면 좀 물린다는 이야기가 있어서레드소,2.0,닭 오리요리후라이드 양념치킨음식점   치킨   교촌치킨,
